,NAME,NATIONALITY_STATE_CODE,STATE_OF_RESIDENCE_CODE
1824579,"BIEGLER, Robert M.",US,US
219217,"KLAUSEN, Lauritz, Nicolai, Balslev",DK,DK
1005247,"HOSHINO, Shohei",JP,JP
1688899,"MAPLES, Brian, K.",US,US
281217,"SIEGMANN, Eckhard",DE,DE
794289,"GAUCKLER, Ludwig, Julius",DE,CH
1382740,"ROMAN, L., Dolan",US,US
1798503,"TATE, Maria del Carmen",MX,US
1456489,"SLOBODA, Roger",US,US
276131,"EIKMANNS, Bernd",DE,DE
334079,"IMMEL, Wolfgang",DE,DE
1441115,"WANG, Sha Sha",US,US
1628059,"KIM, Doyeon",KR,US
196922,"ARLT, Manfred",DE,DE
18877,"BROWN, Robert, Winston",AU,AU
31767,"SCHNEIDERHEINZE, Dirk, Henrik, Paul",AU,AU
1718807,"FORSTEIN, Micah",US,US
1609836,"BETTETINI, Enrico",IT,IT
785639,"TAKATANI, Tomoya",JP,JP
1034082,"KITAHASHI, Katsuhiro",JP,JP
765574,"NISHIMURA, Hidetaka",JP,JP
1018880,"JIMBO, Naoki",JP,JP
1752818,"LIU, Simin",US,US
1134175,"YANG, Seung Man",KR,KR
314034,"SCHLEGEL, Wolgang",DE,DE
1275060,"NESS, C., Clifford",US,US
1389386,"KONDYLIS, George, D.",GR,US
812299,"LEVY-RUSO, Ganit",IL,IL
651053,"WAIN, C., P.",GB,GB
360707,"DEGENHARDT, Michael",DE,DE
1747220,"RIZVI, Syed, Aijaz",CA,US
470574,"BROCCO, Silvio",IT,IT
613419,"RAVARY, Erwann",FR,ES
424390,"SIMERAY, Marc",FR,FR
680512,"SMITH, Greame, Cameron, Murray",GB,GB
1323816,"PEARCE, Denis, G.",US,US
876085,"SATO, Harukiko",JP,JP
390610,"MONTAG, Michael",DE,DE
1094917,"SONG, Nam Woong",KR,KR
1476795,"CRANE, Patrick, L.",US,US
1321539,"TURNER, Dennis, M.",US,US
263163,"DOBBERS, JUrgen",DE,DE
1332484,"MEIER, Richard, A.",US,US
74796,"CHARBONNEAU, Paul",CA,CA
1361221,"LEE, Chunghsin",US,US
534815,"KARAILA, Ilkka",FI,FI
588686,"LEYER, GrEgory",US,US
220416,"GRAUSEN, Erling",DK,DK
439511,"PIETERSE, Coen Willem Johannes",NL,NL
62135,"LIANG, Zhi-zhong",CA,CA
72702,"SUTHERLAND, Michael, T.",CA,CA
1692764,"JOHNSON, Jan Delroy",US,US
271747,"BOLLANO, Gianmario",IT,IT
