,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile
126,IN,A47L,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,1,5,5
127,IN,C08K,0.0,0.0,0.0,0.0,0.012195362570821593,0.0,0.0,0.0,0.0,0.012195362570821593,1,18,9
128,IN,F28F,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,8
129,IN,C07D,7.8,0.0203125,0.06730938734464922,0.0014324917237776248,0.0028244570972106413,7.4,0.01927083333333333,0.06693525331012948,0.001410610553683334,0.002723365291091022,5,385,1
130,IN,A61B,0.0,0.0,0.0,0.0,0.006451613195235274,0.0,0.0,0.0,0.0,0.006451613195235274,2,43,1
131,IN,C09D,0.0,0.0,0.0,0.0,0.04166722590719999,0.0,0.0,0.0,0.0,0.04166722590719999,1,8,1
132,IN,G07F,2.0,0.18181818181818182,0.22272727272727272,0.0,0.05615735483819638,2.0,0.18181818181818182,0.22272727272727272,0.0,0.05615735483819638,2,12,9
133,IN,C07F,0.0,0.0,0.0,0.0,0.005376344622479636,0.0,0.0,0.0,0.0,0.005376344622479636,2,42,5
134,IN,G02F,0.0,0.0,0.0,0.0,0.08333378072575998,0.0,0.0,0.0,0.0,0.08333378072575998,1,4,5
135,IN,A61N,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1,3,1
136,IN,A01H,1.0,0.14285714285714285,0.14285714285714285,0.0,0.13888887500000002,1.0,0.14285714285714285,0.14285714285714285,0.0,0.13888887500000002,1,8,9
137,IN,H03M,1.0,0.030303030303030304,0.030303030303030304,0.0,0.037313432835210616,1.0,0.030303030303030304,0.030303030303030304,0.0,0.037313432835210616,1,34,1
138,IN,F01N,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,4,6
139,FI,G10L,0.0,0.0,0.0,0.0,0.010101010191723611,0.0,0.0,0.0,0.0,0.010101010191723611,1,23,10
140,FI,D21H,1.0,0.017857142857142856,0.017857142857142856,0.0,0.01945525291828639,1.0,0.017857142857142856,0.017857142857142856,0.0,0.01945525291828639,1,57,6
141,FI,B01L,0.0,0.0,0.0,0.0,0.018867924528407597,0.0,0.0,0.0,0.0,0.018867924528407597,1,13,10
142,FI,B32B,0.0,0.0,0.0,0.0,0.010000113121094343,0.0,0.0,0.0,0.0,0.010000113121094343,1,24,9
143,FI,H04B,1.0,0.010869565217391304,0.010869565217391304,0.0,0.013698630136986304,1.0,0.010869565217391304,0.010869565217391304,0.0,0.013698630136986304,1,93,2
144,FI,D21C,0.0,0.0,0.0,0.0,0.004524886877828064,0.0,0.0,0.0,0.0,0.004524886877828064,1,49,6
145,FI,F16F,0.0,0.0,0.0,0.0,0.032258310951583574,0.0,0.0,0.0,0.0,0.032258310951583574,1,7,9
146,FI,D04H,1.0,0.3333333333333333,0.3333333333333333,0.0,0.41666621927423997,1.0,0.3333333333333333,0.3333333333333333,0.0,0.41666621927423997,1,4,10
147,FI,G06T,1.0,0.02857142857142857,0.02857142857142857,0.0,0.03205128205128204,1.0,0.02857142857142857,0.02857142857142857,0.0,0.03205128205128204,1,36,9
148,FI,F02D,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2,2,9
149,FI,F16D,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,7
