,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile,decile_1stGMI_Sara
169,FI,B02C,6.0,0.2307692307692307,0.2307692307692307,0.0,0.0406503864524315,6.0,0.2307692307692307,0.2307692307692307,0.0,0.0406503864524315,1,27,5,5.0
170,FI,C12Q,4.0,0.1379310344827586,0.1379310344827586,0.0,0.0352112676056337,4.0,0.1379310344827586,0.1379310344827586,0.0,0.0352112676056337,1,30,5,5.0
171,FI,H01L,0.0,0.0,0.0,0.0,0.0073529411764705,0.0,0.0,0.0,0.0,0.0073529411764705,1,32,4,4.0
172,FI,G01L,2.0,0.2,0.2,0.0,0.1162789394901993,2.0,0.2,0.2,0.0,0.1162789394901993,1,11,8,8.0
173,FI,C07C,0.0,0.0,0.0,0.0,0.01219512195123,0.0,0.0,0.0,0.0,0.01219512195123,1,18,10,10.0
174,FI,B64C,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1.0
175,FI,H01M,0.0,0.0,0.0,0.0,0.0344830714295996,0.0,0.0,0.0,0.0,0.0344830714295996,1,9,9,9.0
176,FI,A61N,2.0,0.125,0.2249999999999999,0.0,0.0478857823490598,2.0,0.125,0.2249999999999999,0.0,0.0478857823490598,1,17,6,6.0
177,FI,E05B,0.0,0.0,0.0,0.0,0.0208334933333333,0.0,0.0,0.0,0.0,0.0208334933333333,1,12,5,5.0
178,FI,H05B,4.0,0.3333333333333333,0.4444444444444444,0.0,0.0974900879483871,4.0,0.3333333333333333,0.4444444444444444,0.0,0.0974900879483871,1,13,2,2.0
179,FI,H04L,0.5,0.0016666666666666,0.0022222222222222,0.0,0.0020107801270833,0.5,0.0016666666666666,0.0022222222222222,0.0,0.0020107801270833,2,301,1,1.0
180,FI,B65D,0.0,0.0,0.0,0.0,0.0138888889404318,0.0,0.0,0.0,0.0,0.0138888889404318,1,20,7,7.0
181,FI,H01Q,0.0,0.0,0.0,0.0,0.0057471264367816,0.0,0.0,0.0,0.0,0.0057471264367816,1,38,10,10.0
